4912;2542500;84929
6614;984833;117129
9632;1511834;185921
2878;570458;44141
5137;747875;90215
2675;360666;41087
8197;2040791;163851
6179;1078167;110867
9101;1638625;176489
1379;198125;18393
6065;786250;105135
2712;330459;41665
5343;404125;92727
3901;281250;62173
2584;171375;40081
5954;452041;103317
7554;572625;135189
1569;99125;21767
6093;503667;105629
9846;913792;189833
4617;332667;80933
1262;74666;16689
7092;511333;125657
7785;572375;139693
2444;272375;37449
2888;196667;44353
9160;678750;177361
3158;207833;49969
916;52208;10913
4112;288250;73761
5144;353917;90257
5954;419959;103317
4263;291625;75307
4040;315583;64609
1608;98167;22193
8644;642583;169249
634;33791;7121
7291;539375;130501
5898;422042;102481
4161;283792;74245
8856;692583;172737
8398;734833;165845
9417;720416;182601
7607;574000;135939
1370;85333;18257
9164;748084;177401
1251;74667;16601
6715;534500;119375
8058;588000;144801
6430;467125;114417
3195;244333;50383
3543;240459;55701
3024;206125;46369
5739;407583;99567
3946;304292;62905
2732;177084;41889
4756;328667;82593
235;9708;1859
2020;126041;28273
3951;302708;62965
2643;169791;40729
7932;1107417;142273
203;8750;1581
2057;133375;32787
5014;369917;86493
5940;653667;103025
6764;541250;120057
326;15791;3097
443;20667;4313
4783;363084;82873
3590;244125;57381
3909;268291;62387
7344;599167;131361
2722;195583;41809
5871;418542;101621
1203;69417;16025
277;13250;2645
520;27250;6161
2043;128792;28603
8641;648958;169225
3362;227083;53073
1984;261375;27649
8878;666125;172977
7502;564084;134157
3706;255375;58809
899;49625;10771
9840;738792;189729
2945;191875;45321
1640;99125;22529
2941;194667;45021
9206;714084;178037
8582;639875;168485
770;41083;9225
1241;70584;16457
1809;138541;25225
4539;312708;78927
1696;101083;23297
1621;97125;22313
9528;710791;184369
721;37000;8201
